gw,rssi,setor,data
mac1,-80,sofa,2019-03-10 21:24:23
mac1,-85,sofa,2019-03-10 21:24:47
mac1,-85,sofa,2019-03-10 21:24:48
mac1,-85,sofa,2019-03-10 21:24:49
mac1,-85,sofa,2019-03-10 21:24:49
mac1,-82,sofa,2019-03-10 21:24:54
mac1,-82,sofa,2019-03-10 21:24:54
mac1,-82,sofa,2019-03-10 21:24:55
mac1,-82,sofa,2019-03-10 21:24:55
mac1,-82,sofa,2019-03-13 21:19:48
mac1,-88,mesa,2019-03-16 15:19:51
mac1,-88,mesa,2019-03-16 15:19:52
mac1,-92,mesa,2019-03-16 15:19:56
mac1,-92,mesa,2019-03-16 15:19:57
mac1,-86,mesa,2019-03-16 15:20:02
mac1,-89,mesa,2019-03-16 15:20:06
mac1,-89,mesa,2019-03-16 15:20:07
mac1,-89,mesa,2019-03-16 15:20:07
mac1,-95,mesa,2019-03-16 15:20:12
mac1,-95,mesa,2019-03-16 15:20:12
mac1,-92,mesa,2019-03-16 15:20:15
mac1,-94,mesa,2019-03-16 15:20:18
mac1,-89,mesa,2019-03-16 15:20:21
mac1,-89,mesa,2019-03-16 15:20:22
mac2,-70,mesa,2019-03-16 15:18:18
mac2,-70,mesa,2019-03-16 15:18:32
mac2,-70,mesa,2019-03-16 15:18:33
mac2,-70,mesa,2019-03-16 15:18:35
mac2,-74,mesa,2019-03-16 15:18:46
mac2,-74,mesa,2019-03-16 15:18:47
mac2,-77,mesa,2019-03-16 15:18:54
mac2,-79,mesa,2019-03-16 15:18:59
mac2,-72,mesa,2019-03-16 15:19:05
mac2,-72,mesa,2019-03-16 15:19:05
mac2,-72,mesa,2019-03-16 15:19:06
mac2,-70,mesa,2019-03-16 15:19:09
mac2,-70,mesa,2019-03-16 15:19:10
mac2,-71,mesa,2019-03-16 15:19:13
mac2,-73,mesa,2019-03-16 15:19:18
mac2,-73,mesa,2019-03-16 15:19:19
mac3,-42,mesa,2019-03-16 15:20:46
mac3,-42,mesa,2019-03-16 15:20:46
mac3,-41,mesa,2019-03-16 15:20:50
mac3,-42,mesa,2019-03-16 15:20:52
mac3,-42,mesa,2019-03-16 15:20:52
mac3,-39,mesa,2019-03-16 15:20:57
mac3,-42,mesa,2019-03-16 15:21:00
mac3,-42,mesa,2019-03-16 15:21:00
mac3,-45,mesa,2019-03-16 15:21:04
mac3,-47,mesa,2019-03-16 15:21:07
mac3,-47,mesa,2019-03-16 15:21:07
mac3,-43,mesa,2019-03-16 15:21:10
mac3,-43,mesa,2019-03-16 15:21:11
mac3,-38,mesa,2019-03-16 15:21:14
mac3,-38,mesa,2019-03-16 15:21:15
mac3,-38,mesa,2019-03-16 15:21:16
mac3,-39,mesa,2019-03-16 15:21:19
mac3,-44,mesa,2019-03-16 15:21:23
mac3,-44,mesa,2019-03-16 15:21:24
mac3,-42,mesa,2019-03-16 15:21:26
